TRANSMISSION_LINE,PERIOD,trans_lz1,trans_lz2,trans_dbid,trans_length_km,trans_efficiency,trans_derating_factor,TxCapacityNameplate,TxCapacityNameplateAvailable,TotalAnnualCost
Fujian-Zhejiang,2020,Fujian,Zhejiang,26,473.207,0.970596,1,2500.000000027347,2500.000000027347,46795041.13594435
Fujian-Zhejiang,2025,Fujian,Zhejiang,26,473.207,0.970596,1,2500.00000006836,2500.00000006836,46795041.13671203
Fujian-Zhejiang,2030,Fujian,Zhejiang,26,473.207,0.970596,1,2500.0000001331405,2500.0000001331405,46795041.13792459
Fujian-Zhejiang,2035,Fujian,Zhejiang,26,473.207,0.970596,1,2500.0000002374554,2500.0000002374554,46795041.13987716
Fujian-Zhejiang,2040,Fujian,Zhejiang,26,473.207,0.970596,1,2500.0000004082754,2500.0000004082754,46795041.14307457
Fujian-Zhejiang,2045,Fujian,Zhejiang,26,473.207,0.970596,1,2500.0000007078847,2500.0000007078847,46795041.14868266
Fujian-Zhejiang,2050,Fujian,Zhejiang,26,473.207,0.970596,1,2500.0000013206204,2500.0000013206204,46795041.16015186
Fujian-Zhejiang,2055,Fujian,Zhejiang,26,473.207,0.970596,1,2500.0000029762527,2500.0000029762527,46795041.191142015
Fujian-Zhejiang,2060,Fujian,Zhejiang,26,473.207,0.970596,1,2599.000330839155,2599.000330839155,48648130.95704834
Anhui-Zhejiang,2020,Anhui,Zhejiang,6,327.053,0.979678,1,2500.000000038867,2500.000000038867,32341995.339681208
Anhui-Zhejiang,2025,Anhui,Zhejiang,6,327.053,0.979678,1,2500.000000098019,2500.000000098019,32341995.34044645
Anhui-Zhejiang,2030,Anhui,Zhejiang,6,327.053,0.979678,1,2500.000000189055,2500.000000189055,32341995.341624163
Anhui-Zhejiang,2035,Anhui,Zhejiang,6,327.053,0.979678,1,2500.0000003336004,2500.0000003336004,32341995.343494117
Anhui-Zhejiang,2040,Anhui,Zhejiang,6,327.053,0.979678,1,2500.000000568965,2500.000000568965,32341995.34653898
Anhui-Zhejiang,2045,Anhui,Zhejiang,6,327.053,0.979678,1,2500.0000009741802,2500.0000009741802,32341995.35178117
Anhui-Zhejiang,2050,Anhui,Zhejiang,6,327.053,0.979678,1,2500.0000017470916,2500.0000017470916,32341995.361780167
Anhui-Zhejiang,2055,Anhui,Zhejiang,6,327.053,0.979678,1,2500.0000035935823,2500.0000035935823,32341995.385667846
Anhui-Zhejiang,2060,Anhui,Zhejiang,6,327.053,0.979678,1,2500.0000118183902,2500.0000118183902,32341995.492070526
Jiangsu-Shanghai,2020,Jiangsu,Shanghai,81,270.654,0.983182,1,7500.000000062148,7500.000000062148,80294237.38601258
Jiangsu-Shanghai,2025,Jiangsu,Shanghai,81,270.654,0.983182,1,7500.00000018072,7500.00000018072,80294237.38728201
Jiangsu-Shanghai,2030,Jiangsu,Shanghai,81,270.654,0.983182,1,7500.000000356353,7500.000000356353,80294237.38916232
Jiangsu-Shanghai,2035,Jiangsu,Shanghai,81,270.654,0.983182,1,7500.000000622981,7500.000000622981,80294237.39201681
Jiangsu-Shanghai,2040,Jiangsu,Shanghai,81,270.654,0.983182,1,7500.000001032728,7500.000001032728,80294237.39640352
Jiangsu-Shanghai,2045,Jiangsu,Shanghai,81,270.654,0.983182,1,7500.000001678588,7500.000001678588,80294237.40331803
Jiangsu-Shanghai,2050,Jiangsu,Shanghai,81,270.654,0.983182,1,7500.00000274155,7500.00000274155,80294237.41469799
Jiangsu-Shanghai,2055,Jiangsu,Shanghai,81,270.654,0.983182,1,7500.000004686496,7500.000004686496,80294237.4355204
Jiangsu-Shanghai,2060,Jiangsu,Shanghai,81,270.654,0.983182,1,7500.000009373948,7500.000009373948,80294237.48570377
Jiangsu-Zhejiang,2020,Jiangsu,Zhejiang,82,238.01,0.985211,1,2500.000000050594,2500.000000050594,23536608.166974872
Jiangsu-Zhejiang,2025,Jiangsu,Zhejiang,82,238.01,0.985211,1,2500.0000001251447,2500.0000001251447,23536608.167676743
Jiangsu-Zhejiang,2030,Jiangsu,Zhejiang,82,238.01,0.985211,1,2500.000000238383,2500.000000238383,23536608.168742843
Jiangsu-Zhejiang,2035,Jiangsu,Zhejiang,82,238.01,0.985211,1,2500.0000004134454,2500.0000004134454,23536608.17039099
Jiangsu-Zhejiang,2040,Jiangsu,Zhejiang,82,238.01,0.985211,1,2500.000000692042,2500.000000692042,23536608.173013877
Jiangsu-Zhejiang,2045,Jiangsu,Zhejiang,82,238.01,0.985211,1,2500.000001158271,2500.000001158271,23536608.17740326
Jiangsu-Zhejiang,2050,Jiangsu,Zhejiang,82,238.01,0.985211,1,2500.000002018954,2500.000002018954,23536608.18550628
Jiangsu-Zhejiang,2055,Jiangsu,Zhejiang,82,238.01,0.985211,1,2500.0000040483083,2500.0000040483083,23536608.204611927
Jiangsu-Zhejiang,2060,Jiangsu,Zhejiang,82,238.01,0.985211,1,2500.0000103473117,2500.0000103473117,23536608.263914797
Zhejiang-Shanghai,2020,Zhejiang,Shanghai,164,165.398,0.989723,1,2500.0000002143324,2500.0000002143324,16356068.727600848
Zhejiang-Shanghai,2025,Zhejiang,Shanghai,164,165.398,0.989723,1,3840.842586801188,3840.842586801188,25128434.126492247
Zhejiang-Shanghai,2030,Zhejiang,Shanghai,164,165.398,0.989723,1,7955.135008804093,7955.135008804093,52045893.972075276
Zhejiang-Shanghai,2035,Zhejiang,Shanghai,164,165.398,0.989723,1,16792.984717311236,16792.984717311236,109866884.86173809
Zhejiang-Shanghai,2040,Zhejiang,Shanghai,164,165.398,0.989723,1,21079.41268464954,21079.41268464954,137910529.0312121
Zhejiang-Shanghai,2045,Zhejiang,Shanghai,164,165.398,0.989723,1,25328.002605528443,25328.002605528443,165706620.5253441
Zhejiang-Shanghai,2050,Zhejiang,Shanghai,164,165.398,0.989723,1,29782.896705809206,29782.896705809206,194852442.15419564
Zhejiang-Shanghai,2055,Zhejiang,Shanghai,164,165.398,0.989723,1,31927.548070029625,31927.548070029625,208883668.19696552
Zhejiang-Shanghai,2060,Zhejiang,Shanghai,164,165.398,0.989723,1,31961.3467076496,31961.3467076496,209104793.33287123
Anhui-Jiangsu,2020,Anhui,Jiangsu,3,142.72,0.991132,1,7500.000000162368,7500.000000162368,42340381.29820675
Anhui-Jiangsu,2025,Anhui,Jiangsu,3,142.72,0.991132,1,7500.000000633807,7500.000000633807,42340381.3008682
Anhui-Jiangsu,2030,Anhui,Jiangsu,3,142.72,0.991132,1,7500.0000017611865,7500.0000017611865,42340381.307232685
Anhui-Jiangsu,2035,Anhui,Jiangsu,3,142.72,0.991132,1,7500.000005874527,7500.000005874527,42340381.330454074
Anhui-Jiangsu,2040,Anhui,Jiangsu,3,142.72,0.991132,1,7500.000022140247,7500.000022140247,42340381.42228031
Anhui-Jiangsu,2045,Anhui,Jiangsu,3,142.72,0.991132,1,39354.01278475533,39354.01278475533,222168520.91799608
Anhui-Jiangsu,2050,Anhui,Jiangsu,3,142.72,0.991132,1,54779.3108948858,54779.3108948858,309250254.7323018
Anhui-Jiangsu,2055,Anhui,Jiangsu,3,142.72,0.991132,1,56775.982651810045,56775.982651810045,320522233.86746216
Anhui-Jiangsu,2060,Anhui,Jiangsu,3,142.72,0.991132,1,63658.99868999175,63658.99868999175,359379503.6717257
Sichuan-Shanghai-FuFeng,2020,Sichuan,Shanghai,901,1907.0,0.85,1,6400.0,6400.0,482768951.4734364
Sichuan-Shanghai-FuFeng,2025,Sichuan,Shanghai,901,1907.0,0.85,1,6400.0,6400.0,482768951.4734364
Sichuan-Shanghai-FuFeng,2030,Sichuan,Shanghai,901,1907.0,0.85,1,6400.0,6400.0,482768951.4734364
Sichuan-Shanghai-FuFeng,2035,Sichuan,Shanghai,901,1907.0,0.85,1,6400.0,6400.0,482768951.4734364
Sichuan-Shanghai-FuFeng,2040,Sichuan,Shanghai,901,1907.0,0.85,1,6400.0,6400.0,482768951.4734364
Sichuan-Shanghai-FuFeng,2045,Sichuan,Shanghai,901,1907.0,0.85,1,6400.0,6400.0,482768951.4734364
Sichuan-Shanghai-FuFeng,2050,Sichuan,Shanghai,901,1907.0,0.85,1,6400.0,6400.0,482768951.4734364
Sichuan-Shanghai-FuFeng,2055,Sichuan,Shanghai,901,1907.0,0.85,1,6400.0,6400.0,482768951.4734364
Sichuan-Shanghai-FuFeng,2060,Sichuan,Shanghai,901,1907.0,0.85,1,6400.0,6400.0,482768951.4734364
Sichuan-Jiangsu-JinSu,2020,Sichuan,Jiangsu,902,2090.0,0.84,1,7200.0,7200.0,595233611.511231
Sichuan-Jiangsu-JinSu,2025,Sichuan,Jiangsu,902,2090.0,0.84,1,7200.0,7200.0,595233611.511231
Sichuan-Jiangsu-JinSu,2030,Sichuan,Jiangsu,902,2090.0,0.84,1,7200.0,7200.0,595233611.511231
Sichuan-Jiangsu-JinSu,2035,Sichuan,Jiangsu,902,2090.0,0.84,1,7200.0,7200.0,595233611.511231
Sichuan-Jiangsu-JinSu,2040,Sichuan,Jiangsu,902,2090.0,0.84,1,7200.0,7200.0,595233611.511231
Sichuan-Jiangsu-JinSu,2045,Sichuan,Jiangsu,902,2090.0,0.84,1,7200.0,7200.0,595233611.511231
Sichuan-Jiangsu-JinSu,2050,Sichuan,Jiangsu,902,2090.0,0.84,1,7200.0,7200.0,595233611.511231
Sichuan-Jiangsu-JinSu,2055,Sichuan,Jiangsu,902,2090.0,0.84,1,7200.0,7200.0,595233611.511231
Sichuan-Jiangsu-JinSu,2060,Sichuan,Jiangsu,902,2090.0,0.84,1,7200.0,7200.0,595233611.511231
Sichuan-Zhejiang-BinJin,2020,Sichuan,Zhejiang,903,1680.0,0.86,1,8000.0,8000.0,531628105.97494316
Sichuan-Zhejiang-BinJin,2025,Sichuan,Zhejiang,903,1680.0,0.86,1,8000.0,8000.0,531628105.97494316
Sichuan-Zhejiang-BinJin,2030,Sichuan,Zhejiang,903,1680.0,0.86,1,8000.0,8000.0,531628105.97494316
Sichuan-Zhejiang-BinJin,2035,Sichuan,Zhejiang,903,1680.0,0.86,1,8000.0,8000.0,531628105.97494316
Sichuan-Zhejiang-BinJin,2040,Sichuan,Zhejiang,903,1680.0,0.86,1,8000.0,8000.0,531628105.97494316
Sichuan-Zhejiang-BinJin,2045,Sichuan,Zhejiang,903,1680.0,0.86,1,8000.0,8000.0,531628105.97494316
Sichuan-Zhejiang-BinJin,2050,Sichuan,Zhejiang,903,1680.0,0.86,1,8000.0,8000.0,531628105.97494316
Sichuan-Zhejiang-BinJin,2055,Sichuan,Zhejiang,903,1680.0,0.86,1,8000.0,8000.0,531628105.97494316
Sichuan-Zhejiang-BinJin,2060,Sichuan,Zhejiang,903,1680.0,0.86,1,8000.0,8000.0,531628105.97494316
